Elapsed Time,II,MAX FREQUENCY
0.0,0.0,100.0
0.0005,0.6180339887498948,100.0
0.001,1.1755705045849463,100.0
0.0015,1.618033988749895,100.0
0.002,1.902113032590307,100.0
0.0025,2.0,100.0
0.003,1.902113032590307,100.0
0.0035,1.618033988749895,100.0
0.004,1.1755705045849465,100.0
0.0045000000000000005,0.6180339887498942,100.0
0.005,2.4492935982947064e-16,100.0
0.0055,-0.6180339887498946,100.0
0.006,-1.1755705045849467,100.0
0.006500000000000001,-1.6180339887498958,100.0
0.007,-1.902113032590307,100.0
0.0075,-2.0,100.0
0.008,-1.9021130325903073,100.0
0.0085,-1.618033988749894,100.0
0.009000000000000001,-1.1755705045849452,100.0
0.0095,-0.6180339887498953,100.0
0.01,-4.898587196589413e-16,100.0
0.0105,0.618033988749896,100.0
0.011,1.1755705045849458,100.0
0.0115,1.6180339887498945,100.0
0.012,1.9021130325903075,100.0
0.0125,2.0,100.0
0.013000000000000001,1.9021130325903062,100.0
0.0135,1.6180339887498951,100.0
0.014,1.1755705045849467,100.0
0.0145,0.6180339887498956,100.0
0.015,7.347880794884119e-16,100.0
0.0155,-0.6180339887498941,100.0
0.016,-1.1755705045849456,100.0
0.0165,-1.6180339887498965,100.0
0.017,-1.902113032590308,100.0
0.0175,-2.0,100.0
0.018000000000000002,-1.9021130325903064,100.0
0.0185,-1.6180339887498953,100.0
0.019,-1.175570504584947,100.0
0.0195,-0.6180339887498958,100.0
0.02,-9.797174393178826e-16,100.0
0.0205,0.6180339887498972,100.0
0.021,1.1755705045849483,100.0
0.021500000000000002,1.6180339887498962,100.0
0.022,1.9021130325903068,100.0
0.0225,2.0,100.0
0.023,1.9021130325903075,100.0
0.0235,1.6180339887498956,100.0
0.024,1.1755705045849443,100.0
0.0245,0.6180339887498926,100.0
0.025,-2.328066879653148e-15,100.0
0.025500000000000002,-0.618033988749897,100.0
0.026000000000000002,-1.175570504584951,100.0
0.0265,-1.6180339887498962,100.0
0.027,-1.9021130325903068,100.0
0.0275,-2.0,100.0
0.028,-1.9021130325903075,100.0
0.0285,-1.6180339887498936,100.0
0.029,-1.1755705045849474,100.0
0.029500000000000002,-0.6180339887498928,100.0
0.03,-1.4695761589768238e-15,100.0
0.0305,0.6180339887498968,100.0
0.031,1.175570504584945,100.0
0.0315,1.618033988749896,100.0
0.032,1.9021130325903066,100.0
0.0325,2.0,100.0
0.033,1.9021130325903055,100.0
0.0335,1.6180339887498938,100.0
0.034,1.1755705045849418,100.0
0.0345,0.6180339887498931,100.0
0.035,-5.3909218387947074e-15,100.0
0.035500000000000004,-0.6180339887498966,100.0
0.036000000000000004,-1.1755705045849505,100.0
0.0365,-1.6180339887498918,100.0
0.037,-1.9021130325903066,100.0
0.0375,-2.0,100.0
0.038,-1.9021130325903077,100.0
0.0385,-1.6180339887498938,100.0
0.039,-1.1755705045849478,100.0
0.0395,-0.6180339887498933,100.0
0.04,-1.959434878635765e-15,100.0
0.0405,0.6180339887498963,100.0
0.041,1.1755705045849503,100.0
0.0415,1.6180339887498958,100.0
0.042,1.9021130325903086,100.0
0.0425,2.0,100.0
0.043000000000000003,1.9021130325903055,100.0
0.043500000000000004,1.6180339887498898,100.0
0.044,1.175570504584948,100.0
0.0445,0.6180339887499003,100.0
0.045,2.204364238465236e-15,100.0
0.0455,-0.6180339887498961,100.0
0.046,-1.1755705045849445,100.0
0.0465,-1.6180339887498956,100.0
